Score_bruto,6_anos,7_anos,8_anos,9_anos,10_anos,11_anos,12_anos,13_anos,14_anos,Jovens_Adultos
-24,76,78,76,83,65,38,35,42,24,0
-23,80,81,80,86,68,42,39,45,28,0
-22,83,84,83,88,71,46,43,49,32,0
-21,87,87,87,91,74,50,47,52,37,0
-20,91,91,90,94,76,55,51,56,41,2
-19,94,94,94,97,79,59,55,59,45,7
-18,98,97,97,99,82,63,59,63,49,12
-17,101,101,101,102,85,67,63,66,53,17
-16,105,104,104,105,88,71,67,70,57,22
-15,109,107,107,108,91,75,71,74,62,27
-14,112,110,111,111,94,79,75,77,66,33
-13,116,114,114,113,97,84,79,81,70,38
-12,120,117,118,116,100,88,83,84,74,43
-11,123,120,121,119,103,92,87,88,78,48
-10,127,123,125,122,106,96,91,91,82,53
-9,130,127,128,124,109,100,95,95,87,58
-8,134,130,132,127,112,104,99,98,91,64
-7,138,133,135,130,115,108,102,102,95,69
-6,141,137,138,133,118,113,106,105,99,74
-5,145,140,142,136,121,117,110,109,103,79
-4,148,143,145,138,124,121,114,112,108,84
-3,152,146,149,141,127,125,118,116,112,89
-2,156,150,152,144,130,129,122,119,116,95
-1,159,153,156,147,133,133,126,123,120,100
0,163,156,159,149,136,137,130,126,124,105